State,Cases_Total,Cases_White,Cases_Black,Cases_LatinX,Cases_Asian,Cases_AIAN,Cases_NHPI,Cases_Multiracial,Cases_Other,Cases_Unknown,Cases_Ethnicity_Hispanic,Cases_Ethnicity_NonHispanic,Cases_Ethnicity_Unknown,Deaths_Total,Deaths_White,Deaths_Black,Deaths_LatinX,Deaths_Asian,Deaths_AIAN,Deaths_NHPI,Deaths_Multiracial,Deaths_Other,Deaths_Unknown,Deaths_Ethnicity_Hispanic,Deaths_Ethnicity_NonHispanic,Deaths_Ethnicity_Unknown,White,Black,Hispanic,American Indialaska Native,Asian,Native Hawaiian/Other Pacific Islander,Two Or More Races
AK,2524,810,70,,79,318,92,56,43,1056,143,1137,1244,20,11,0,,2,5,1,0,0,1,0,19,1,0.6,0.03,0.07,0.16,0.06,0.01,0.07
AL,79294,24667,22269,,286,,,,4331,27739,5677,38938,34677,1473,740,599,,4,,,,29,101,47,1212,214,0.66,0.26,0.04,.001,0.01,,0.02
AR,38623,19139,8161,,561,113,2072,,5253,3324,9031,29592,0,401,232,106,,6,2,30,,27,0,40,363,0,0.72,0.15,0.08,0.01,0.02,.001,0.03
AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,162014,25751,3457,36771,1188,9443,,,3524,81880,36771,43363,81880,3305,1233,97,902,35,417,,,54,567,902,1836,567,0.54,0.04,0.32,0.04,0.03,.001,0.02
CA,453659,50967,12503,162991,16090,662,1738,2195,43453,163060,162991,127608,163060,8416,2474,697,3740,1056,31,45,42,112,219,3740,4457,219,0.37,0.05,0.39,.001,0.15,.001,0.03
CO,44336,13348,1939,14682,852,214,131,399,300,12463,14682,17183,12463,1661,1031,110,364,53,11,5,20,6,57,364,1236,57,,,,,,,
CT,48776,17183,6376,9261,697,44,,145,293,14777,9261,24738,14777,4413,3232,653,381,48,2,,33,21,43,381,3989,43,0.66,0.1,0.17,.001,0.05,,0.02
DC,11780,2389,5802,,183,28,31,,3055,292,3154,7067,1559,581,62,429,76,8,,,,6,0,76,505,0,0.37,0.45,0.11,,0.04,,0.03
DE,14290,4761,3624,3696,200,,,,721,1288,3696,9306,1288,579,358,147,39,1,,,,8,26,39,514,26,0.62,0.21,0.09,.001,0.04,,0.03
