State,Group,Cases,Deaths,Population
Alaska,White,0.320919176,0.55,0.6
Alabama,White,0.311082806,0.502376103,0.66
Arkansas,White,0.495533749,0.578553616,0.72
American Samoa,White,,,
Arizona,White,0.158943054,0.373071104,0.54
California,White,0.112346498,0.293963878,0.37
Colorado,White,0.301064598,0.620710415,0.68
Connecticut,White,0.35228391,0.7323816,0.66
District of Columbia,White,0.202801358,0.106712565,0.37
Delaware,White,0.333170049,0.618307427,0.62
Florida,White,0.20698352,0.460482251,0.53
Georgia,White,0.229474913,0.454831332,0.52
Guam,White,0.103857567,0,
Hawaii,White,0.143196673,0,0.21
Iowa,White,0.663382132,0.799516908,0.86
Idaho,White,0.475821093,0.904109589,0.82
Illinois,White,0.229020189,0.433992095,0.61
Indiana,White,0.458539088,0.600413365,0.79
Kansas,White,0.651439723,0.714723926,0.76
Kentucky,White,0.522101998,0.755714286,0.85
Louisiana,White,0.289688958,0.446186553,0.59
Massachusetts,White,0.309874867,0.751905264,0.71
Maryland,White,0.215981277,0.425290698,0.5
Maine,White,0.610120608,0.890756303,0.93
Michigan,White,0.413980914,0.51953125,0.75
Minnesota,White,0.450804449,0.781908302,0.8
Missouri,White,0.470007394,0.595655806,0.8
Northern Mariana Islands,White,0,0,
Mississippi,White,0.283630315,0.411371237,0.57
Montana,White,0.578096948,0.369565217,0.86
North Carolina,White,0.394231366,0.556862745,0.63
North Dakota,White,0,0,0.84
Nebraska,White,0.58493785,0.759493671,0.79
New Hampshire,White,0.639527657,0.931540342,0.9
New Jersey,White,0.219259268,0.466079686,0.55
New Mexico,White,0.130973637,0.159609121,0.37
Nevada,White,0.18815209,0.400544959,0.49
New York,White,0,0.305731807,0.55
Ohio,White,0.482640087,0.757181736,0.79
Oklahoma,White,0.563496883,0.745967742,0.65
Oregon,White,0.395989975,0.698961938,0.75
Pennsylvania,White,0.324877822,0.704973307,0.76
Puerto Rico,White,0,0,0.01
Rhode Island,White,0.271016242,0.660678643,0.72
South Carolina,White,0.326358699,0.430583501,0.64
South Dakota,White,0.392138177,0,0.82
Tennessee,White,0.423799182,0.561530507,0.74
Texas,White,0.021854759,0.066693132,0.41
United States,White,0.233379274,0.47182693,0.6
Utah,White,0.390988334,0.510948905,0.78
Virginia,White,0.227866662,0.543310876,0.62
Virgin Islands,White,0,0,
Vermont,White,0.820714286,0.946428571,0.93
Washington,White,0.244115133,0.656895403,0.68
Wisconsin,White,0.607896735,0.699666296,0.81
West Virginia,White,0.774161074,0.563106796,0.92
Wyoming,White,0.484444444,0.48,0.84
Alaska,Black,0.027733756,0,0.03
Alabama,Black,0.280840921,0.406653089,0.26
Arkansas,Black,0.211298967,0.264339152,0.15
American Samoa,Black,,,
Arizona,Black,0.021337662,0.02934947,0.04
California,Black,0.027560348,0.082818441,0.05
Colorado,Black,0.043734211,0.066225166,0.04
Connecticut,Black,0.130720026,0.147971901,0.1
District of Columbia,Black,0.492529711,0.7383821,0.45
Delaware,Black,0.253603919,0.25388601,0.21
Florida,Black,0.138587489,0.19909578,0.15
Georgia,Black,0.256518193,0.453687822,0.31
Guam,Black,0,0,
Hawaii,Black,0.007130125,0,0.02
Iowa,Black,0.079204204,0.049516908,0.03
Idaho,Black,0.012213237,0.020547945,0.01
Illinois,Black,0.165452376,0.267852437,0.14
Indiana,Black,0.11168473,0.131588012,0.09
Kansas,Black,0.073439802,0.193251534,0.05
Kentucky,Black,0.080172828,0.134285714,0.08
Louisiana,Black,0.341095432,0.479138985,0.32
Massachusetts,Black,0.093603258,0.081955681,0.07
Maryland,Black,0.299899699,0.40755814,0.29
Maine,Black,0.225222863,0.025210084,0.01
Michigan,Black,0.264813469,0.39546875,0.14
Minnesota,Black,0.205266553,0.092317224,0.06
Missouri,Black,0.220001431,0.330827068,0.11
Northern Mariana Islands,Black,0,0,
Mississippi,Black,0.422663659,0.493645485,0.38
Montana,Black,0.00598444,0,0.001
North Carolina,Black,0.168968974,0.312605042,0.21
North Dakota,Black,0,0,0.03
Nebraska,Black,0.060931026,0.075949367,0.04
New Hampshire,Black,0.052050963,0.02200489,0.01
New Jersey,Black,0.103126063,0.157471337,0.13
New Mexico,Black,0.017960298,0.006514658,0.02
Nevada,Black,0.050416637,0.096730245,0.09
New York,Black,0,0.225054057,0.14
Ohio,Black,0.255718245,0.193831267,0.12
Oklahoma,Black,0.072079271,0.0625,0.07
Oregon,Black,0.036161833,0.020761246,0.02
Pennsylvania,Black,0.135908774,0.20848553,0.1
Puerto Rico,Black,0,0,0.001
Rhode Island,Black,0.091692274,0.050898204,0.06
South Carolina,Black,0.239325607,0.352783367,0.26
South Dakota,Black,0.119833234,0,0.02
Tennessee,Black,0.193206013,0.347466391,0.17
Texas,Black,0.010635232,0.019650655,0.12
United States,Black,0.118102907,0.2063637,0.12
Utah,Black,0.024780765,0.018248175,0.01
Virginia,Black,0.172029279,0.237728585,0.19
Virgin Islands,Black,0,0,
Vermont,Black,0.113571429,0,0.01
Washington,Black,0.03615465,0.032644903,0.04
Wisconsin,Black,0.151556568,0.225806452,0.06
West Virginia,Black,0.076006711,0.029126214,0.04
Wyoming,Black,0.00969697,0,0
Alaska,LatinX,0,0,0.07
Alabama,LatinX,0,0,0.04
Arkansas,LatinX,0,0,0.08
American Samoa,LatinX,,,
Arizona,LatinX,0.226961867,0.272919818,0.32
California,LatinX,0.35928087,0.444391635,0.39
Colorado,LatinX,0.331153013,0.219145093,0.22
Connecticut,LatinX,0.189867968,0.086335826,0.17
District of Columbia,LatinX,0,0.13080895,0.11
Delaware,LatinX,0.258642407,0.067357513,0.09
Florida,LatinX,0.247735664,0.243134628,0.26
Georgia,LatinX,0.132721654,0.058604917,0.1
Guam,LatinX,0,0,
Hawaii,LatinX,0,0,0.1
Iowa,LatinX,0,0,0.06
Idaho,LatinX,0,0,0.13
Illinois,LatinX,0.302178773,0.202898551,0.17
Indiana,LatinX,0,0,0.07
Kansas,LatinX,0,0,0.12
Kentucky,LatinX,0,0,0.04
Louisiana,LatinX,0,0,0.05
Massachusetts,LatinX,0.195145153,0.069644741,0.12
Maryland,LatinX,0.251134355,0.114244186,0.1
Maine,LatinX,0,0,0.02
Michigan,LatinX,0,0,0.05
Minnesota,LatinX,0,0,0.05
Missouri,LatinX,0,0,0.04
Northern Mariana Islands,LatinX,0,0,
Mississippi,LatinX,0.035389263,0.016053512,0.03
Montana,LatinX,0,0,0.04
North Carolina,LatinX,0,0,0.1
North Dakota,LatinX,0,0,0.04
Nebraska,LatinX,0,0,0.11
New Hampshire,LatinX,0.109850839,0.026894866,0.04
New Jersey,LatinX,0.184073638,0.174320644,0.21
New Mexico,LatinX,0.391292931,0.096091205,0.49
Nevada,LatinX,0.203790584,0.148501362,0.29
New York,LatinX,0,0.236857963,0.19
Ohio,LatinX,0,0,0.04
Oklahoma,LatinX,0,0,0.11
Oregon,LatinX,0,0,0.13
Pennsylvania,LatinX,0,0,0.08
Puerto Rico,LatinX,0,0,0.99
Rhode Island,LatinX,0.338619403,0.084830339,0.16
South Carolina,LatinX,0,0,0.06
South Dakota,LatinX,0.139964264,0,0.04
Tennessee,LatinX,0,0,0.05
Texas,LatinX,0.034009684,0.047042477,0.4
United States,LatinX,0.136948166,0.141476435,0.18
Utah,LatinX,0.388407553,0.237226277,0.14
Virginia,LatinX,0.300318091,0.110683349,0.1
Virgin Islands,LatinX,0,0,
Vermont,LatinX,0,0,0.02
Washington,LatinX,0.288819227,0.133244504,0.13
Wisconsin,LatinX,0,0,0.07
West Virginia,LatinX,0,0,0.01
Wyoming,LatinX,0.126060606,0.08,0.1
Alaska,Asian,0.031299525,0.1,0.06
Alabama,Asian,0.00360683,0.002715547,0.01
Arkansas,Asian,0.014525024,0.014962594,0.02
American Samoa,Asian,,,
Arizona,Asian,0.0073327,0.010590015,0.03
California,Asian,0.035467168,0.125475285,0.15
Colorado,Asian,0.019216889,0.031908489,0.03
Connecticut,Asian,0.014289815,0.010876954,0.05
District of Columbia,Asian,0.015534805,0.013769363,0.04
Delaware,Asian,0.013995801,0.001727116,0.04
Florida,Asian,0,0,0.03
Georgia,Asian,0.01205099,0.016866781,0.04
Guam,Asian,0.37388724,0,
Hawaii,Asian,0.251931075,0,0.38
